"","Species","decimalLatitude","decimalLongitude","year","month","basisOfRecord"
"149","Whooping Crane",28.335283,-96.45292,2014,1,"HUMAN_OBSERVATION"
"150","Whooping Crane",28.24457,-96.85549,2014,1,"HUMAN_OBSERVATION"
"151","Whooping Crane",28.026531,-96.96739,2014,1,"HUMAN_OBSERVATION"
"152","Whooping Crane",28.025187,-97.048996,2014,1,"HUMAN_OBSERVATION"
"153","Whooping Crane",30.666251,-97.397254,2014,2,"HUMAN_OBSERVATION"
"154","Whooping Crane",28.388336,-96.89394,2014,2,"HUMAN_OBSERVATION"
"155","Whooping Crane",28.390929,-96.892404,2014,2,"HUMAN_OBSERVATION"
"156","Whooping Crane",28.14033,-96.948299,2014,2,"HUMAN_OBSERVATION"
"157","Whooping Crane",30.646257,-97.339306,2014,2,"HUMAN_OBSERVATION"
"158","Whooping Crane",28.0247,-96.826763,2014,2,"HUMAN_OBSERVATION"
"159","Whooping Crane",28.198383,-96.865826,2014,2,"HUMAN_OBSERVATION"
"160","Whooping Crane",28.31535,-96.630318,2014,2,"HUMAN_OBSERVATION"
"161","Whooping Crane",28.294838,-96.806273,2014,2,"HUMAN_OBSERVATION"
"162","Whooping Crane",28.296001,-96.806216,2014,2,"HUMAN_OBSERVATION"
"163","Whooping Crane",28.245834,-96.788492,2014,2,"HUMAN_OBSERVATION"
"164","Whooping Crane",28.142859,-96.98032,2014,2,"HUMAN_OBSERVATION"
"165","Whooping Crane",28.453981,-96.889366,2014,2,"HUMAN_OBSERVATION"
"166","Whooping Crane",27.8339,-97.06107,2014,2,"HUMAN_OBSERVATION"
"167","Whooping Crane",28.244589,-96.85658,2014,2,"HUMAN_OBSERVATION"
"168","Whooping Crane",28.179749,-96.99508,2014,2,"HUMAN_OBSERVATION"
"169","Whooping Crane",28.0206,-97.05447,2014,2,"HUMAN_OBSERVATION"
"170","Whooping Crane",28.004707,-97.18128,2014,2,"HUMAN_OBSERVATION"
"171","Whooping Crane",28.333612,-96.85772,2014,2,"HUMAN_OBSERVATION"
"172","Whooping Crane",28.148848,-96.97453,2014,2,"HUMAN_OBSERVATION"
"173","Whooping Crane",28.273981,-96.96062,2014,2,"HUMAN_OBSERVATION"
"174","Whooping Crane",28.254866,-96.97255,2014,2,"HUMAN_OBSERVATION"
"175","Whooping Crane",28.567638,-96.71539,2014,2,"HUMAN_OBSERVATION"
"176","Whooping Crane",28.065008,-97.03387,2014,2,"HUMAN_OBSERVATION"
"177","Whooping Crane",28.070002,-96.98456,2014,2,"HUMAN_OBSERVATION"
"178","Whooping Crane",28.129131,-96.915276,2014,2,"HUMAN_OBSERVATION"
"179","Whooping Crane",30.71557,-97.37938,2014,2,"HUMAN_OBSERVATION"
"180","Whooping Crane",28.151508,-96.97507,2014,2,"HUMAN_OBSERVATION"
"181","Whooping Crane",28.147394,-96.97685,2014,2,"HUMAN_OBSERVATION"
"182","Whooping Crane",30.719019,-97.34011,2014,2,"HUMAN_OBSERVATION"
"183","Whooping Crane",28.147585,-96.899315,2014,2,"HUMAN_OBSERVATION"
"184","Whooping Crane",30.679258,-97.33612,2014,2,"HUMAN_OBSERVATION"
"185","Whooping Crane",30.713282,-97.398155,2014,2,"HUMAN_OBSERVATION"
"186","Whooping Crane",28.252565,-96.79101,2014,2,"HUMAN_OBSERVATION"
"187","Whooping Crane",28.25131,-96.86378,2014,2,"HUMAN_OBSERVATION"
"188","Whooping Crane",28.64751,-96.09509,2014,2,"HUMAN_OBSERVATION"
"189","Whooping Crane",28.147436,-96.97446,2014,2,"HUMAN_OBSERVATION"
"190","Whooping Crane",28.1787,-96.9941,2014,2,"HUMAN_OBSERVATION"
"191","Whooping Crane",28.14225,-96.97646,2014,2,"HUMAN_OBSERVATION"
"192","Whooping Crane",28.14951,-96.89903,2014,2,"HUMAN_OBSERVATION"
"193","Whooping Crane",28.49404,-96.52982,2014,2,"HUMAN_OBSERVATION"
"194","Whooping Crane",28.13255,-96.98044,2014,2,"HUMAN_OBSERVATION"
"195","Whooping Crane",28.13227,-96.989365,2014,2,"HUMAN_OBSERVATION"
"196","Whooping Crane",30.655893,-97.38249,2014,2,"HUMAN_OBSERVATION"
"197","Whooping Crane",28.276285,-96.921267,2014,3,"HUMAN_OBSERVATION"
"198","Whooping Crane",28.231659,-96.787148,2014,3,"HUMAN_OBSERVATION"
"199","Whooping Crane",28.305061,-96.80088,2014,3,"HUMAN_OBSERVATION"
"200","Whooping Crane",28.148039,-96.85184,2014,3,"HUMAN_OBSERVATION"
"201","Whooping Crane",28.16229,-96.88293,2014,3,"HUMAN_OBSERVATION"
"202","Whooping Crane",28.16597,-96.97769,2014,3,"HUMAN_OBSERVATION"
"203","Whooping Crane",28.150146,-96.97503,2014,3,"HUMAN_OBSERVATION"
"204","Whooping Crane",28.1475,-96.97442,2014,3,"HUMAN_OBSERVATION"
"205","Whooping Crane",28.14976,-96.973076,2014,3,"HUMAN_OBSERVATION"
"206","Whooping Crane",28.149214,-96.980675,2014,3,"HUMAN_OBSERVATION"
"207","Whooping Crane",28.083958,-96.9643,2014,3,"HUMAN_OBSERVATION"
"208","Whooping Crane",28.07198,-96.98181,2014,3,"HUMAN_OBSERVATION"
"209","Whooping Crane",28.133427,-96.98443,2014,3,"HUMAN_OBSERVATION"
"210","Whooping Crane",28.208597,-96.83232,2014,3,"HUMAN_OBSERVATION"
"211","Whooping Crane",28.148272,-96.97743,2014,3,"HUMAN_OBSERVATION"
"212","Whooping Crane",28.24467,-96.85566,2014,3,"HUMAN_OBSERVATION"
"213","Whooping Crane",28.553576,-96.742516,2014,3,"HUMAN_OBSERVATION"
"214","Whooping Crane",28.132629,-96.887785,2014,4,"HUMAN_OBSERVATION"
"215","Whooping Crane",28.281404,-96.847916,2014,4,"HUMAN_OBSERVATION"
"216","Whooping Crane",28.22697,-96.79887,2014,10,"HUMAN_OBSERVATION"
"217","Whooping Crane",30.434727,-97.60708,2014,10,"HUMAN_OBSERVATION"
"218","Whooping Crane",28.199827,-96.83881,2014,10,"HUMAN_OBSERVATION"
"219","Whooping Crane",28.125889,-96.93253,2014,10,"HUMAN_OBSERVATION"
"220","Whooping Crane",30.869968,-97.181158,2014,11,"HUMAN_OBSERVATION"
"221","Whooping Crane",32.65101,-97.474754,2014,11,"HUMAN_OBSERVATION"
"222","Whooping Crane",28.07095,-97.040764,2014,11,"HUMAN_OBSERVATION"
"223","Whooping Crane",28.159166,-96.97027,2014,11,"HUMAN_OBSERVATION"
"224","Whooping Crane",27.491827,-97.27947,2014,11,"HUMAN_OBSERVATION"
"225","Whooping Crane",30.608035,-97.309051,2015,1,"HUMAN_OBSERVATION"
"226","Whooping Crane",30.750292,-97.293723,2015,1,"HUMAN_OBSERVATION"
"227","Whooping Crane",28.13255,-96.985054,2015,1,"HUMAN_OBSERVATION"
"228","Whooping Crane",30.624374,-97.34072,2015,1,"HUMAN_OBSERVATION"
"229","Whooping Crane",28.149769,-96.97626,2015,1,"HUMAN_OBSERVATION"
"230","Whooping Crane",28.278986,-96.95065,2015,1,"HUMAN_OBSERVATION"
"231","Whooping Crane",30.5905,-97.29697,2015,1,"HUMAN_OBSERVATION"
"232","Whooping Crane",30.590145,-97.29798,2015,1,"HUMAN_OBSERVATION"
"233","Whooping Crane",28.134745,-96.91212,2015,1,"HUMAN_OBSERVATION"
"234","Whooping Crane",30.700161,-97.35975,2015,1,"HUMAN_OBSERVATION"
"235","Whooping Crane",30.617231,-97.303505,2015,1,"HUMAN_OBSERVATION"
"236","Whooping Crane",28.147291,-96.97558,2015,1,"HUMAN_OBSERVATION"
"237","Whooping Crane",28.145643,-96.97349,2015,1,"HUMAN_OBSERVATION"
"238","Whooping Crane",28.14903,-96.97161,2015,1,"HUMAN_OBSERVATION"
"239","Whooping Crane",30.589483,-97.29754,2015,1,"HUMAN_OBSERVATION"
"240","Whooping Crane",30.616796,-97.3025,2015,1,"HUMAN_OBSERVATION"
"241","Whooping Crane",30.616604,-97.30258,2015,1,"HUMAN_OBSERVATION"
"242","Whooping Crane",30.6168,-97.29983,2015,1,"HUMAN_OBSERVATION"
"243","Whooping Crane",28.149115,-96.972824,2015,1,"HUMAN_OBSERVATION"
"244","Whooping Crane",28.3108,-96.80116,2015,1,"HUMAN_OBSERVATION"
"245","Whooping Crane",30.611303,-97.29949,2015,1,"HUMAN_OBSERVATION"
"246","Whooping Crane",30.614573,-97.30694,2015,1,"HUMAN_OBSERVATION"
"247","Whooping Crane",30.618027,-97.29917,2015,1,"HUMAN_OBSERVATION"
"248","Whooping Crane",30.618246,-97.29903,2015,1,"HUMAN_OBSERVATION"
"249","Whooping Crane",30.616789,-97.301186,2015,1,"HUMAN_OBSERVATION"
"250","Whooping Crane",28.149176,-96.97687,2015,1,"HUMAN_OBSERVATION"
"251","Whooping Crane",28.037441,-97.0697,2015,1,"HUMAN_OBSERVATION"
"252","Whooping Crane",28.149876,-97.0141,2015,1,"HUMAN_OBSERVATION"
"253","Whooping Crane",28.14743,-96.97459,2015,1,"HUMAN_OBSERVATION"
"254","Whooping Crane",30.552908,-97.22935,2015,1,"HUMAN_OBSERVATION"
"255","Whooping Crane",28.215353,-96.82507,2015,1,"HUMAN_OBSERVATION"
"256","Whooping Crane",28.147232,-96.97769,2015,1,"HUMAN_OBSERVATION"
"257","Whooping Crane",28.065008,-97.03387,2015,1,"HUMAN_OBSERVATION"
"258","Whooping Crane",28.136559,-96.98591,2015,1,"HUMAN_OBSERVATION"
"259","Whooping Crane",27.999706,-97.537735,2015,1,"HUMAN_OBSERVATION"
"260","Whooping Crane",28.240393,-96.81882,2015,1,"HUMAN_OBSERVATION"
"261","Whooping Crane",30.623487,-97.33971,2015,1,"HUMAN_OBSERVATION"
"262","Whooping Crane",28.2504,-96.78944,2015,1,"HUMAN_OBSERVATION"
"263","Whooping Crane",28.335283,-96.45292,2015,1,"HUMAN_OBSERVATION"
"264","Whooping Crane",28.147387,-96.97334,2015,1,"HUMAN_OBSERVATION"
"265","Whooping Crane",28.1463,-96.97347,2015,1,"HUMAN_OBSERVATION"
"266","Whooping Crane",28.148283,-96.97573,2015,1,"HUMAN_OBSERVATION"
"267","Whooping Crane",28.14799,-96.97555,2015,1,"HUMAN_OBSERVATION"
"268","Whooping Crane",28.143435,-96.97565,2015,1,"HUMAN_OBSERVATION"
"269","Whooping Crane",28.169807,-96.9825,2015,1,"HUMAN_OBSERVATION"
"270","Whooping Crane",28.147346,-96.979126,2015,1,"HUMAN_OBSERVATION"
"271","Whooping Crane",28.30154,-96.80632,2015,1,"HUMAN_OBSERVATION"
"272","Whooping Crane",28.13706,-96.98622,2015,1,"HUMAN_OBSERVATION"
"273","Whooping Crane",28.125124,-96.98012,2015,1,"HUMAN_OBSERVATION"
"274","Whooping Crane",28.142859,-96.98032,2015,1,"HUMAN_OBSERVATION"
"275","Whooping Crane",30.790531,-97.266198,2015,2,"HUMAN_OBSERVATION"
"276","Whooping Crane",28.300912,-96.807088,2015,2,"HUMAN_OBSERVATION"
"277","Whooping Crane",28.249953,-96.936403,2015,2,"HUMAN_OBSERVATION"
"278","Whooping Crane",28.167873,-96.807398,2015,2,"HUMAN_OBSERVATION"
"279","Whooping Crane",28.127793,-96.843093,2015,2,"HUMAN_OBSERVATION"
"280","Whooping Crane",27.983851,-97.184264,2015,2,"HUMAN_OBSERVATION"
"281","Whooping Crane",28.21865,-96.98799,2015,2,"HUMAN_OBSERVATION"
"282","Whooping Crane",28.0206,-97.05447,2015,2,"HUMAN_OBSERVATION"
"283","Whooping Crane",28.10825,-96.93403,2015,2,"HUMAN_OBSERVATION"
"284","Whooping Crane",28.14748,-96.97473,2015,2,"HUMAN_OBSERVATION"
"285","Whooping Crane",28.128864,-96.98586,2015,2,"HUMAN_OBSERVATION"
"286","Whooping Crane",28.14946,-96.97291,2015,2,"HUMAN_OBSERVATION"
"287","Whooping Crane",28.307882,-96.80454,2015,2,"HUMAN_OBSERVATION"
"288","Whooping Crane",28.123238,-96.97761,2015,2,"HUMAN_OBSERVATION"
"289","Whooping Crane",28.24242,-96.868515,2015,2,"HUMAN_OBSERVATION"
"290","Whooping Crane",28.147905,-96.97592,2015,2,"HUMAN_OBSERVATION"
"291","Whooping Crane",28.147411,-96.97449,2015,2,"HUMAN_OBSERVATION"
"292","Whooping Crane",28.138964,-96.98244,2015,2,"HUMAN_OBSERVATION"
"293","Whooping Crane",28.132309,-96.98331,2015,2,"HUMAN_OBSERVATION"
"294","Whooping Crane",28.1489,-96.9759,2015,2,"HUMAN_OBSERVATION"
"295","Whooping Crane",30.71557,-97.37938,2015,2,"HUMAN_OBSERVATION"
"296","Whooping Crane",28.149881,-96.9734,2015,2,"HUMAN_OBSERVATION"
"297","Whooping Crane",28.151709,-96.89717,2015,2,"HUMAN_OBSERVATION"
"298","Whooping Crane",28.167036,-96.875824,2015,2,"HUMAN_OBSERVATION"
"299","Whooping Crane",28.178968,-96.99184,2015,2,"HUMAN_OBSERVATION"
"300","Whooping Crane",28.186167,-96.993774,2015,2,"HUMAN_OBSERVATION"
"301","Whooping Crane",27.998741,-97.01651,2015,2,"HUMAN_OBSERVATION"
"302","Whooping Crane",28.147535,-96.976814,2015,2,"HUMAN_OBSERVATION"
"303","Whooping Crane",28.147358,-96.974945,2015,2,"HUMAN_OBSERVATION"
"304","Whooping Crane",28.163578,-96.97769,2015,2,"HUMAN_OBSERVATION"
"305","Whooping Crane",28.146215,-96.97428,2015,2,"HUMAN_OBSERVATION"
"306","Whooping Crane",28.148481,-96.9764,2015,2,"HUMAN_OBSERVATION"
"307","Whooping Crane",30.679258,-97.33612,2015,2,"HUMAN_OBSERVATION"
"308","Whooping Crane",27.998646,-97.01391,2015,2,"HUMAN_OBSERVATION"
"309","Whooping Crane",30.719019,-97.34011,2015,2,"HUMAN_OBSERVATION"
"310","Whooping Crane",28.13255,-96.98044,2015,2,"HUMAN_OBSERVATION"
"311","Whooping Crane",28.128149,-96.983185,2015,2,"HUMAN_OBSERVATION"
"312","Whooping Crane",28.19837,-96.86508,2015,2,"HUMAN_OBSERVATION"
"313","Whooping Crane",28.045319,-97.000694,2015,2,"HUMAN_OBSERVATION"
"314","Whooping Crane",28.148272,-96.97743,2015,2,"HUMAN_OBSERVATION"
"315","Whooping Crane",28.13762,-96.98891,2015,2,"HUMAN_OBSERVATION"
"316","Whooping Crane",28.02438,-97.04668,2015,2,"HUMAN_OBSERVATION"
"317","Whooping Crane",28.040459,-97.04162,2015,2,"HUMAN_OBSERVATION"
"318","Whooping Crane",27.819038,-97.06142,2015,2,"HUMAN_OBSERVATION"
"319","Whooping Crane",28.244532,-96.85656,2015,2,"HUMAN_OBSERVATION"
"320","Whooping Crane",28.141977,-97.861549,2015,3,"HUMAN_OBSERVATION"
"321","Whooping Crane",28.164419,-96.894746,2015,3,"HUMAN_OBSERVATION"
"322","Whooping Crane",28.0731,-96.828028,2015,3,"HUMAN_OBSERVATION"
"323","Whooping Crane",28.143918,-96.959936,2015,3,"HUMAN_OBSERVATION"
